"access_code","access_days_time","date_last_confirmed","fuel_type_code","id","open_date","restricted_access","station_name","facility_type","latitude","longitude","city","state","street_address","zip","county"
"public","24 hours daily; Drivers must bring their own J1772 cordset for Level 1 charging","2023-05-06","ELEC",36363,"2010-07-15",NA,"ARUNDEL MILLS  ELEMENT HOTELS",NA,39.155907,-76.717216,"Hanover","MD","7522 Teague Rd","21076","Anne Arundel County"
"public","24 hours daily; Drivers must bring their own J1772 cordset for Level 1 charging","2022-11-10","ELEC",40012,"2011-08-15",FALSE,"Municipal Garage","FLEET_GARAGE",39.291785,-76.610539,"Baltimore","MD","200 N Holliday St","21202","Baltimore City"
"public","Dealership business hours","2022-03-07","ELEC",40018,"2011-03-15",FALSE,"Bel Air Nissan","CAR_DEALER",39.505659,-76.382317,"Bel Air","MD","1506 Bel Air Rd","21014","Harford County"
"public","24 hours daily","2021-09-10","ELEC",40020,"2019-09-09",FALSE,"Community College of Baltimore County (CCBC)","COLLEGE_CAMPUS",39.256947,-76.730918,"Catonsville","MD","800 S Rolling Rd","21228","Baltimore County"
"public","Dealership business hours","2022-03-07","ELEC",40025,"2018-06-26",FALSE,"Younger Nissan","CAR_DEALER",39.391175,-77.407835,"Frederick","MD","7418 Grove Rd","21704","Frederick County"
"public","Dealership business hours","2020-06-09","ELEC",40026,"2011-03-15",FALSE,"Criswell Nissan","CAR_DEALER",39.177414,-77.249773,"Germantown","MD","19574 Amaranth Dr","20874","Montgomery County"
"public","Dealership business hours; contact 301-423-8400 for more information","2022-03-07","ELEC",40029,"2011-03-15",FALSE,"Passport Nissan - Marlow Heights","CAR_DEALER",38.82681,-76.923233,"Suitland","MD","5000 Auth Way","20746","Prince George's County"
"public","Dealership business hours","2022-03-07","ELEC",40030,"2011-03-15",FALSE,"Darcars Nissan","CAR_DEALER",39.113757,-77.161016,"Rockville","MD","15911 Indianola Dr","20855","Montgomery County"
"public","Dealership business hours","2020-06-09","ELEC",40033,"2011-03-15",FALSE,"Herb Gordon Nissan","CAR_DEALER",39.077447,-76.947933,"Silver Spring","MD","3131 Automobile Blvd","20904","Montgomery County"
"public","8am-10pm daily; for church members or those in need of a charge; Drivers must bring their own J1772 cordset for Level 1 charging","2021-09-10","ELEC",40689,"2011-08-10",TRUE,"Annapolis Friends Meeting","PLACE_OF_WORSHIP",39.001676,-76.525253,"Annapolis","MD","351 Dubois Ave","21401","Anne Arundel County"
"public","24 hours daily","2023-05-06","ELEC",41006,"2011-08-15",NA,"CHARLES COUNTY INDIAN HEAD1",NA,38.623533,-77.086898,"Indian Head","MD","3225 Ruth B Swann Dr","20640","Charles County"
"public","24 hours daily","2023-05-06","ELEC",41007,"2012-01-31",NA,"CHARLES COUNTY CRAIN CENTER1",NA,38.369101,-76.960389,"Newburg","MD","12480 Crain Hwy","20664","Charles County"
"private",NA,"2021-02-22","ELEC",41230,"2011-05-01",NA,"Smithsonian Environmental Research Center (SERC)","RESEARCH_FACILITY",38.893647,-76.539373,"Edgewater","MD","647 Contees Wharf Rd","21037","Anne Arundel County"
"public","24 hours daily","2023-05-06","ELEC",43190,"2012-01-15",NA,"UM PTS GRAND",NA,39.290036,-76.621894,"Baltimore","MD","5 N Paca St","21201","Baltimore City"
"public","24 hours daily","2023-05-06","ELEC",43191,"2012-01-15",NA,"UM PTS PEARL #3",NA,39.290764,-76.62439,"Baltimore","MD","622 W Fayette St","21201","Baltimore City"
"public","24 hours daily","2023-05-06","ELEC",43195,"2012-01-15",NA,"UM PTS PRATT",NA,39.28651,-76.624935,"Baltimore","MD","646 West Pratt Street","21201","Baltimore City"
"public","24 hours daily","2023-05-06","ELEC",43196,"2012-01-15",NA,"UM PTS PLAZA #1",NA,39.28808,-76.622679,"Baltimore","MD","500 West Redwood Street","21201","Baltimore City"
"public","24 hours daily","2023-05-06","ELEC",43440,"2012-01-31",NA,"EVSP WALGREENS STORE 5623",NA,39.326834,-76.681801,"Baltimore","MD","3801 Liberty Heights Ave","21215","Baltimore City"
"public","24 hours daily","2023-05-06","ELEC",43444,"2012-01-31",NA,"EVSP WALGREENS STORE 6396",NA,39.334156,-76.495725,"Rosedale","MD","8606 Philadelphia Rd","21237","Baltimore County"
"public","Dealership business hours","2020-06-09","ELEC",47684,"2012-01-31",FALSE,"Antwerpen Nissan","CAR_DEALER",39.312935,-76.734569,"Baltimore","MD","1701 Woodlawn Dr","21207","Baltimore County"
"private",NA,"2020-06-09","ELEC",47685,"2012-01-31",NA,"Antwerpen Nissan","CAR_DEALER",39.312935,-76.734569,"Baltimore","MD","1701 Woodlawn Dr","21207","Baltimore County"
"public","Dealership business hours","2020-06-09","ELEC",47686,"2012-01-31",FALSE,"Bob Bell Nissan","CAR_DEALER",39.296284,-76.509019,"Baltimore","MD","7900 Eastern Ave","21224","Baltimore County"
"private",NA,"2020-06-09","ELEC",47687,"2012-01-31",NA,"Bob Bell Nissan","CAR_DEALER",39.296284,-76.509019,"Baltimore","MD","7900 Eastern Ave","21224","Baltimore County"
"public","Dealership business hours","2020-06-09","ELEC",47688,"2012-01-31",FALSE,"Nissan of Bowie","CAR_DEALER",38.919138,-76.718428,"Bowie","MD","2200 Crain Hwy","20716","Prince George's County"
"private",NA,"2020-06-09","ELEC",47689,"2012-01-31",NA,"Nissan of Bowie","CAR_DEALER",38.919138,-76.718428,"Bowie","MD","2200 Crain Hwy","20716","Prince George's County"
"public","Dealership business hours","2022-03-07","ELEC",47690,"2012-01-31",FALSE,"Antwerpen Nissan","CAR_DEALER",39.21254,-76.944457,"Clarksville","MD","12451 Auto Dr","21029","Howard County"
"private",NA,"2022-03-07","ELEC",47691,"2012-01-31",NA,"Antwerpen Nissan","CAR_DEALER",39.21254,-76.944457,"Clarksville","MD","12451 Auto Dr","21029","Howard County"
"public","Dealership business hours","2020-06-09","ELEC",47692,"2012-01-31",FALSE,"Darcars Nissan - College Park","CAR_DEALER",39.008053,-76.929772,"College Park","MD","9330 Baltimore Ave","20740","Prince George's County"
"private",NA,"2020-06-09","ELEC",47693,"2012-01-31",NA,"Darcars Nissan - College Park","CAR_DEALER",39.008053,-76.929772,"College Park","MD","9330 Baltimore Ave","20740","Prince George's County"
"public","Dealership business hours; contact 410-465-5550 for more information","2022-03-07","ELEC",47694,"2012-01-31",FALSE,"Nissan Ellicott City","CAR_DEALER",39.282746,-76.808584,"Ellicott City","MD","8569 Baltimore National Pike","21043","Howard County"
"private",NA,"2022-03-07","ELEC",47695,"2012-01-31",NA,"Nissan Ellicott City","CAR_DEALER",39.282746,-76.808584,"Ellicott City","MD","8569 Baltimore National Pike","21043","Howard County"
"public","Dealership business hours","2022-03-07","ELEC",47696,"2012-01-31",FALSE,"Sheehy Nissan","CAR_DEALER",39.172584,-76.619758,"Glen Burnie","MD","7232 Ritchie Hwy","21061","Anne Arundel County"
"private",NA,"2022-03-07","ELEC",47697,"2012-01-31",NA,"Sheehy Nissan","CAR_DEALER",39.172584,-76.619758,"Glen Burnie","MD","7232 Ritchie Hwy","21061","Anne Arundel County"
"public","Dealership business hours","2022-03-07","ELEC",47698,"2012-01-31",FALSE,"Hamilton Nissan","CAR_DEALER",39.605636,-77.687979,"Hagerstown","MD","1929 Dual Hwy","21740","Washington County"
"private",NA,"2022-03-07","ELEC",47699,"2012-01-31",NA,"Hamilton Nissan","CAR_DEALER",39.605636,-77.687979,"Hagerstown","MD","1929 Dual Hwy","21740","Washington County"
"public","Dealership business hours; contact 301-725-4400 for more information","2020-06-09","ELEC",47700,"2012-01-31",FALSE,"Ourisman Nissan","CAR_DEALER",39.1016565055263,-76.8229692891632,"Laurel","MD","3510 Ft Meade Rd","20724","Anne Arundel County"
"private",NA,"2020-06-09","ELEC",47701,"2012-01-31",NA,"Ourisman Nissan","CAR_DEALER",39.1016565055263,-76.8229692891632,"Laurel","MD","3510 Ft Meade Rd","20724","Anne Arundel County"
"public","Dealership business hours","2020-06-09","ELEC",47702,"2018-06-26",FALSE,"Antwerpen Nissan","CAR_DEALER",39.438482,-76.802793,"Owings Mills","MD","11405 Reisterstown Rd","21117","Baltimore County"
"private",NA,"2020-06-09","ELEC",47703,"2012-01-31",NA,"Antwerpen Nissan","CAR_DEALER",39.438482,-76.802793,"Owings Mills","MD","11405 Reisterstown Rd","21117","Baltimore County"
"private",NA,"2022-03-07","ELEC",47708,"2012-01-31",NA,"Pohanka Nissan - Salisbury","CAR_DEALER",38.392257,-75.575718,"Salisbury","MD","2012 N Salisbury Blvd","21801","Wicomico County"
"public","Dealership business hours; contact 410-548-4700 for more information","2022-03-07","ELEC",47709,"2012-01-31",FALSE,"Nationwide Nissan","CAR_DEALER",39.440675,-76.625866,"Timonium","MD","2085 York Rd","21093","Baltimore County"
"private",NA,"2022-03-07","ELEC",47710,"2012-01-31",NA,"Nationwide Nissan","CAR_DEALER",39.440675,-76.625866,"Timonium","MD","2085 York Rd","21093","Baltimore County"
"public","Dealership business hours","2022-03-07","ELEC",47711,"2012-01-31",FALSE,"Sheehy Nissan - Waldorf","CAR_DEALER",38.630057,-76.9056,"Waldorf","MD","2950 Crain Hwy","20601","Charles County"
"public","24 hours daily","2023-05-06","ELEC",48038,"2012-05-31",NA,"MTA LTR MT WASHNGTN",NA,39.368052,-76.651968,"Baltimore","MD","5701 Smith Ave","21209","Baltimore City"
"private",NA,"2022-03-07","ELEC",48395,"2011-03-15",NA,"Bel Air Nissan","CAR_DEALER",39.505659,-76.382317,"Bel Air","MD","1506 Bel Air Rd","21014","Harford County"
"private",NA,"2022-03-07","ELEC",48397,"2011-03-15",NA,"Younger Nissan","CAR_DEALER",39.391175,-77.407835,"Frederick","MD","7418 Grove Rd","21704","Frederick County"
"private",NA,"2020-06-09","ELEC",48398,"2011-03-15",NA,"Criswell Nissan","CAR_DEALER",39.177414,-77.249773,"Germantown","MD","19574 Amaranth Dr","20874","Montgomery County"
"private",NA,"2022-03-07","ELEC",48400,"2011-03-15",NA,"Darcars Nissan","CAR_DEALER",39.113757,-77.161016,"Rockville","MD","15911 Indianola Dr","20855","Montgomery County"
"private",NA,"2020-06-09","ELEC",48401,"2011-03-15",NA,"Herb Gordon Nissan","CAR_DEALER",39.077447,-76.947933,"Silver Spring","MD","3131 Automobile Blvd","20904","Montgomery County"
"private",NA,"2022-03-07","ELEC",48402,"2011-03-15",NA,"Passport Nissan - Marlow Heights","CAR_DEALER",38.82681,-76.923233,"Suitland","MD","5000 Auth Way","20746","Prince George's County"
"private","NASA fleet use only; Also accessible through chip keys","2022-07-12","ELEC",48668,"2012-08-01",NA,"Goddard Space Flight Center","FED_GOV",38.99791,-76.845822,"Greenbelt","MD","8800 Greenbelt Rd","20771","Prince George's County"
"public","24 hours daily","2021-09-10","ELEC",50379,"2012-12-01",FALSE,"Old Farm Court","STREET_PARKING",39.160868,-76.599205,"Glen Burnie","MD","115 Old Farm Ct","21060","Anne Arundel County"
"public","24 hours daily; Drivers must bring their own J1772 cordset for Level 1 charging","2021-12-09","ELEC",51086,"2012-12-01",FALSE,"Baltimore Washington Medical Center","HOSPITAL",39.138576,-76.62159,"Glen Burnie","MD","300 Hospital Dr","21061","Anne Arundel County"
"public","24 hours daily; for customer use only","2021-09-10","ELEC",51982,"2013-02-01",TRUE,"The Frederick Motor Co - Ford","CAR_DEALER",39.421141,-77.46074,"Frederick","MD","1 Waverley Dr","21702","Frederick County"
"public","24 hours daily","2023-05-06","ELEC",51983,"2013-05-15",NA,"FASTPARK BWI 1",NA,39.198352,-76.684676,"Linthicum Heights","MD","1718 W Nursery Rd","21090","Anne Arundel County"
"public","Dealership business hours","2021-12-09","ELEC",51989,"2013-01-04",TRUE,"Waldorf Ford","CAR_DEALER",38.64352,-76.891367,"Waldorf","MD","2440 Crain Hwy","20601","Charles County"
"private",NA,"2022-07-12","ELEC",52470,"2013-06-30",NA,"Smithsonian Transportation Repair Shop - Garber Facility","FLEET_GARAGE",38.841957,-76.94351,"Suitland","MD","3904 Old Silver Hill Rd","20746","Prince George's County"
"private","Service center use only","2022-10-11","ELEC",53226,"2013-02-19",NA,"Academy Ford","CAR_DEALER",39.07394,-76.869633,"Laurel","MD","13401 Baltimore Ave","20707","Prince George's County"
