county,Date,Count
Allegany County,07-01-2020,29
Allegany County,08-01-2020,32
Allegany County,09-01-2020,35
Allegany County,10-01-2020,36
Allegany County,11-01-2020,37
Allegany County,12-01-2020,37
Allegany County,01-01-2021,39
Allegany County,02-01-2021,39
Allegany County,03-01-2021,39
Allegany County,04-01-2021,38
Allegany County,05-01-2021,39
Allegany County,06-01-2021,41
Allegany County,07-01-2021,43
Allegany County,08-01-2021,44
Allegany County,09-01-2021,47
Allegany County,10-01-2021,46
Allegany County,11-01-2021,46
Allegany County,12-01-2021,46
Allegany County,01-01-2022,48
Allegany County,02-01-2022,51
Allegany County,03-01-2022,53
Allegany County,04-01-2022,57
Allegany County,05-01-2022,60
Allegany County,06-01-2022,70
Allegany County,07-01-2022,71
Allegany County,08-01-2022,73
Allegany County,09-01-2022,78
Allegany County,10-01-2022,91
Allegany County,11-01-2022,85
Allegany County,12-01-2022,98
Allegany County,01-01-2023,106
Allegany County,02-01-2023,108
Allegany County,03-01-2023,110
Allegany County,04-01-2023,120
Anne Arundel County,07-01-2020,1587
Anne Arundel County,08-01-2020,1625
Anne Arundel County,09-01-2020,1658
Anne Arundel County,10-01-2020,1729
Anne Arundel County,11-01-2020,1783
Anne Arundel County,12-01-2020,1823
Anne Arundel County,01-01-2021,1880
Anne Arundel County,02-01-2021,1912
Anne Arundel County,03-01-2021,1995
Anne Arundel County,04-01-2021,2078
Anne Arundel County,05-01-2021,2141
Anne Arundel County,06-01-2021,2334
Anne Arundel County,07-01-2021,2395
Anne Arundel County,08-01-2021,2707
Anne Arundel County,09-01-2021,2767
Anne Arundel County,10-01-2021,2838
Anne Arundel County,11-01-2021,2949
Anne Arundel County,12-01-2021,3037
Anne Arundel County,01-01-2022,3125
Anne Arundel County,02-01-2022,2977
Anne Arundel County,03-01-2022,3135
Anne Arundel County,04-01-2022,3582
Anne Arundel County,05-01-2022,3677
Anne Arundel County,06-01-2022,3862
Anne Arundel County,07-01-2022,3923
Anne Arundel County,08-01-2022,4051
Anne Arundel County,09-01-2022,4178
Anne Arundel County,10-01-2022,4337
Anne Arundel County,11-01-2022,4577
Anne Arundel County,12-01-2022,4854
Anne Arundel County,01-01-2023,5206
Anne Arundel County,02-01-2023,5404
Anne Arundel County,03-01-2023,5610
Anne Arundel County,04-01-2023,5996
Baltimore County,07-01-2020,1508
Baltimore County,08-01-2020,1549
Baltimore County,09-01-2020,1587
Baltimore County,10-01-2020,1674
Baltimore County,11-01-2020,1715
Baltimore County,12-01-2020,1779
Baltimore County,01-01-2021,1822
Baltimore County,02-01-2021,1860
Baltimore County,03-01-2021,1915
Baltimore County,04-01-2021,1988
Baltimore County,05-01-2021,2041
Baltimore County,06-01-2021,2121
