date,Date,Count
Allegany County,07-01-2020,32
Allegany County,08-01-2020,34
Allegany County,09-01-2020,37
Allegany County,10-01-2020,39
Allegany County,11-01-2020,39
Allegany County,12-01-2020,40
Allegany County,01-01-2021,39
Allegany County,02-01-2021,38
Allegany County,03-01-2021,38
Allegany County,04-01-2021,39
Allegany County,05-01-2021,39
Allegany County,06-01-2021,42
Allegany County,07-01-2021,40
Allegany County,08-01-2021,39
Allegany County,09-01-2021,42
Allegany County,10-01-2021,42
Allegany County,11-01-2021,45
Allegany County,12-01-2021,47
Allegany County,01-01-2022,46
Allegany County,02-01-2022,47
Allegany County,03-01-2022,47
Allegany County,04-01-2022,49
Allegany County,05-01-2022,53
Allegany County,06-01-2022,56
Allegany County,07-01-2022,58
Allegany County,08-01-2022,60
Allegany County,09-01-2022,61
Allegany County,10-01-2022,83
Allegany County,11-01-2022,86
Allegany County,12-01-2022,92
Allegany County,01-01-2023,98
Allegany County,02-01-2023,98
Allegany County,03-01-2023,104
Allegany County,04-01-2023,108
Anne Arundel County,07-01-2020,1124
Anne Arundel County,08-01-2020,1138
Anne Arundel County,09-01-2020,1152
Anne Arundel County,10-01-2020,1161
Anne Arundel County,11-01-2020,1194
Anne Arundel County,12-01-2020,1215
Anne Arundel County,01-01-2021,1231
Anne Arundel County,02-01-2021,1250
Anne Arundel County,03-01-2021,1280
Anne Arundel County,04-01-2021,1309
Anne Arundel County,05-01-2021,1363
Anne Arundel County,06-01-2021,1409
Anne Arundel County,07-01-2021,1458
Anne Arundel County,08-01-2021,1541
Anne Arundel County,09-01-2021,1590
Anne Arundel County,10-01-2021,1711
Anne Arundel County,11-01-2021,1766
Anne Arundel County,12-01-2021,1797
Anne Arundel County,01-01-2022,1816
Anne Arundel County,02-01-2022,1842
Anne Arundel County,03-01-2022,1923
Anne Arundel County,04-01-2022,1979
Anne Arundel County,05-01-2022,2053
Anne Arundel County,06-01-2022,2109
Anne Arundel County,07-01-2022,2145
Anne Arundel County,08-01-2022,2187
Anne Arundel County,09-01-2022,2203
Anne Arundel County,10-01-2022,2249
Anne Arundel County,11-01-2022,2334
Anne Arundel County,12-01-2022,2366
Anne Arundel County,01-01-2023,2399
Anne Arundel County,02-01-2023,2455
Anne Arundel County,03-01-2023,2575
Anne Arundel County,04-01-2023,2732
Baltimore County,07-01-2020,1230
Baltimore County,08-01-2020,1242
Baltimore County,09-01-2020,1259
Baltimore County,10-01-2020,1276
Baltimore County,11-01-2020,1288
Baltimore County,12-01-2020,1313
Baltimore County,01-01-2021,1339
Baltimore County,02-01-2021,1352
Baltimore County,03-01-2021,1372
Baltimore County,04-01-2021,1393
Baltimore County,05-01-2021,1456
Baltimore County,06-01-2021,1523
Baltimore County,07-01-2021,1597
Baltimore County,08-01-2021,1639
Baltimore County,09-01-2021,1677
Baltimore County,10-01-2021,1709
Baltimore County,11-01-2021,1738
Baltimore County,12-01-2021,1760
Baltimore County,01-01-2022,1789
Baltimore County,02-01-2022,1819
Baltimore County,03-01-2022,1872
Baltimore County,04-01-2022,1897
Baltimore County,05-01-2022,1931
Baltimore County,06-01-2022,1992
Baltimore County,07-01-2022,2018
Baltimore County,08-01-2022,2050
Baltimore County,09-01-2022,2072
Baltimore County,10-01-2022,2084
Baltimore County,11-01-2022,2159
Baltimore County,12-01-2022,2215
Baltimore County,01-01-2023,2242
Baltimore County,02-01-2023,2288
Baltimore County,03-01-2023,2319
Baltimore County,04-01-2023,2369
Baltimore City,07-01-2020,585
Baltimore City,08-01-2020,605
Baltimore City,09-01-2020,624
Baltimore City,10-01-2020,638
Baltimore City,11-01-2020,647
Baltimore City,12-01-2020,675
